1,Status,Program,Co-op,Grade Percentage,Date Accepted,Type,Other,,
2,Accepted,Accounting and Financial Management,Yes,97,05-Mar,105,,,
3,Accepted,Accounting and Financial Management,Yes,91,05-Mar,101,good ecs,,
4,Accepted,Accounting and Financial Management,Yes,96.2,07-Mar,,,,
5,Accepted,Accounting and Financial Management,Yes,97.7,07-Mar,101,With AIF,,
6,Accepted,Accounting and Financial Management,Yes,97,07-Mar,101,,,
7,Accepted,Accounting and Financial Management,Yes,95.75,05-Mar,101,,,
8,Accepted,Accounting and Financial Management,Yes,4,05-Mar,105,1530 SAT which is important for american school applicants,,s
9,Accepted,Accounting and Financial Management,Yes,88,07-May,101,,,
10,Accepted,Accounting and Financial Management,Yes,95,05-Mar,101,,,
11,Accepted,Accounting and Financial Management,Yes,96,07-May,101,,,
12,Accepted,Accounting and Financial Management,Yes,92,07-May,101,"Decent ECs, Strong AFMAA",,
13,Accepted,Accounting and Financial Management,Yes,92.3,06-Apr,101,,,
14,Accepted,Accounting and Financial Management,Yes,93,06-Apr,101,,,
15,Accepted,Accounting and Financial Management,Yes,91,06-Apr,101,,,
16,Accepted,Accounting and Financial Management,Yes,96,06-Apr,101,bombed my interview,,
17,Accepted,Accounting and Financial Management,Yes,88,22-Nov,44657,,,
18,Accepted,Accounting and Financial Management,Yes,94,07-Mar,101,AIF,,
19,Accepted,Accounting and Financial Management,Yes,91,05-May,101,,,
20,Accepted,Accounting and Financial Management,Yes,4,06-Apr,101,trash AFMAA,,
21,Accepted,Accounting and Financial Management,Yes,96.4,11-May,101,"I can’t believe it, they have reached their cap limit on students so there’s not enough space in the program. So they put me in Honours arts and business instead 😦",,
22,Accepted,Accounting and Financial Management,Yes,92,11-May,101,,,
23,Accepted,Accounting and Financial Management,Yes,95,07-May,101,,,
24,Accepted,Accounting and Financial Management,Yes,91.5,07-May,101,"above avg ECs and AFMAA~ Deca Exec, Treasurer, Deca Champion",,
25,Accepted,Accounting and Financial Management,Yes,92.8,07-May,101,sus,,
26,Accepted,Acturial Science,Yes,95,05-Feb,105F,,,
27,Accepted,Accounting and Financial Management,Yes,85,06-Apr,101,LOL HOW,,
28,Accepted,Arts and Business,Yes,87.6,12-Feb,105,No AIF,,
29,Deferred,Architectural Engineering,Yes,92.8,05-Oct,105D,deferred from tron,,
30,Accepted,Architectural Engineering,Yes,94,29-Mar,101,,,
31,Accepted,Architectural Engineering,Yes,97,29-Mar,101,,,
32,Accepted,Architectural Engineering,Yes,89,29-Mar,101,national competitive seimming as an extracurricular,,
33,Accepted,Architectural Engineering,Yes,97,30-Mar,101,,,
34,Accepted,Architectural Engineering,Yes,93.6,26-Mar,105D,,,
35,Accepted,Architectural Engineering,Yes,94,29-Mar,101,,,
36,Accepted,Architectural Engineering,Yes,89,07-May,101,,,
37,Accepted,Architectural Engineering,Yes,98.45,29-Mar,101,strong AIF?,,
38,Accepted,Architectural Engineering,Yes,95,06-Apr,101,committed elsewhere,,
39,Accepted,Architectural Engineering,Yes,98,28-Apr,105,,,
40,Accepted,Architectural Engineering,Yes,96.3,28-Apr,,,,
41,Accepted,Architectural Engineering,Yes,95,26-Apr,101,,,
42,Accepted,Architectural Engineering,Yes,4,10-May,101,,,
43,Accepted,Arts and Business,Yes,93,07-May,101,Highly involved with DECA Ontario as an executive and 2-time Provincial Finalist,,
44,Accepted,Arts and Business,Yes,91,05-Feb,101,,,
45,Deferred,Arts and Business,Yes,87.5,11-May,101,deferred from afm lmao,,
46,Accepted,Arts and Science,Yes,94,19-Feb,105,,,
47,Accepted,Arts Psychology,Yes,96,05-Feb,,(no aif),,
48,Accepted,Arts Psychology,Yes,96,17-Dec,101,,,
49,Accepted,Biomedical Engineering,Yes,97.7,29-Mar,101,,,
50,Accepted,Biomedical Engineering,Yes,96.6,29-Mar,101,,,
51,Accepted,Biomedical Engineering,Yes,96,29-Mar,101,,,
52,Accepted,Biomedical Engineering,Yes,97,29-Mar,101,,,
53,Accepted,Biotechnology and Chartered Professional Accountancy,Yes,95,06-May,101,,,
54,Accepted,Mathematics and Business Administration,Yes,92.5,11-May,101,,,
