Short,Long
AFM,Accounting and Financial Management
FARM,Financial Analysis Risk Management
Math,Mathematics
Math/BBA,Mathematics and Business Administration
BMath/BBA,Mathematics and Business Administration
CS,Computer Science
CS/BBA,Computer Science and Business Administration
CFM,Computing and Financial Management
ARBUS,Arts and Business
ENBUS,Environment and Business
CE,Computer Engineering
EE,Electrical Engineering
SE,Software Engineering
SYDE,Systems Design Engineering
Chem Eng,Chemical Engineering
Mech Eng,Mechanical Engineering
Mechatronics,Mechatronics Engineering
Nano,Nanotechnology Engineering
Math/CPA,Mathematics and Chartered Professional Accountancy
Biotech/CPA,Biotechnology and Chartered Professional Accountancy
